Id,IdEjemplar,SiglasColeccion,NombreColeccion,NumeroDeCatalogo,Fuente,AnioColecta,Taxa,Estado,Municipio,Altitud,Longitud,Latitud
927,9846,CIMMYT,Banco de Germoplasma de Maíz,10304-T.spp-1848-39,FY001,NA,Tripsacum pilosum,JALISCO,ND,1200,NA,NA
928,9848,CIMMYT,Banco de Germoplasma de Maíz,10305-T.spp-1853-39,FY001,NA,Tripsacum pilosum,JALISCO,ND,1200,NA,NA
929,9849,CIMMYT,Banco de Germoplasma de Maíz,10306-T.spp-1859-39,FY001,NA,Tripsacum pilosum,JALISCO,ND,1200,NA,NA
930,9850,CIMMYT,Banco de Germoplasma de Maíz,10308-T.spp-5232-609,FY001,NA,Tripsacum cundinamarcae,JALISCO,ND,1200,NA,NA
931,9851,CIMMYT,Banco de Germoplasma de Maíz,10309-T.spp-5239-612,FY001,NA,Tripsacum cundinamarcae,JALISCO,ND,1200,NA,NA
932,9853,CIMMYT,Banco de Germoplasma de Maíz,10310-T.spp-1613-39,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1200,NA,NA
933,9854,CIMMYT,Banco de Germoplasma de Maíz,10311-T.spp-1616-39,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1200,NA,NA
934,9856,CIMMYT,Banco de Germoplasma de Maíz,10312-T.spp-1806-39,FY001,NA,Tripsacum bravum,JALISCO,ND,1200,NA,NA
935,9857,CIMMYT,Banco de Germoplasma de Maíz,10313-T.spp-1809-39,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1200,NA,NA
936,9858,CIMMYT,Banco de Germoplasma de Maíz,10314-T.spp-1833-39,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1200,NA,NA
937,9859,CIMMYT,Banco de Germoplasma de Maíz,10315-T.spp-1837-39,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1200,NA,NA
938,9861,CIMMYT,Banco de Germoplasma de Maíz,10316-T.spp-824-69,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1250,NA,NA
939,9863,CIMMYT,Banco de Germoplasma de Maíz,10317-T.spp-373-44,FY001,NA,Tripsacum dactyloides hispidum,JALISCO,ND,1430,NA,NA
940,9864,CIMMYT,Banco de Germoplasma de Maíz,10318-T.spp-5116-650,FY001,NA,Tripsacum dactyloides meridonale,JALISCO,ND,1450,NA,NA
941,9865,CIMMYT,Banco de Germoplasma de Maíz,10320-T.spp-612-56,FY001,NA,Tripsacum dactyloides mexicanum,MÉXICO,ND,1340,NA,NA
942,9866,CIMMYT,Banco de Germoplasma de Maíz,10321-T.spp-36-11,FY001,NA,Tripsacum dactyloides hispidum,MÉXICO,ND,1340,NA,NA
943,9867,CIMMYT,Banco de Germoplasma de Maíz,10322-T.spp-621-12,FY001,NA,Tripsacum bravum,MÉXICO,ND,1340,NA,NA
944,9868,CIMMYT,Banco de Germoplasma de Maíz,10323-T.spp-608-55,FY001,NA,Tripsacum bravum,MÉXICO,SANTO TOMAS,1150,NA,NA
945,9869,CIMMYT,Banco de Germoplasma de Maíz,10324-T.spp-1270-109,FY001,NA,Tripsacum latifolium,MÉXICO,VALLE DE BRAVO,1800,NA,NA
946,9870,CIMMYT,Banco de Germoplasma de Maíz,10325-T.spp-569-9,FY001,NA,Tripsacum dactyloides hispidum,MÉXICO,ZACAZONAPAN,1450,NA,NA
947,9872,CIMMYT,Banco de Germoplasma de Maíz,10326-T.spp-588-54,FY001,NA,Tripsacum dactyloides hispidum,MÉXICO,ND,1300,NA,NA
948,9873,CIMMYT,Banco de Germoplasma de Maíz,10327-T.spp-597-10,FY001,NA,Tripsacum dactyloides hispidum,MÉXICO,ND,1300,NA,NA
949,9877,CIMMYT,Banco de Germoplasma de Maíz,10328-T.spp-689-63,FY001,NA,Tripsacum dactyloides hispidum,MICHOACÁN DE OCAMPO,ND,1750,NA,NA
950,9884,CIMMYT,Banco de Germoplasma de Maíz,10329-T.spp-7161-1,FY001,NA,Tripsacum manisuroides,MICHOACÁN DE OCAMPO,TUXPAN,1,NA,NA
951,9886,CIMMYT,Banco de Germoplasma de Maíz,10330-T.spp-544-53,FY001,NA,Tripsacum intermedium,MICHOACÁN DE OCAMPO,URUAPAN,1250,NA,NA
952,9888,CIMMYT,Banco de Germoplasma de Maíz,10331-T.spp-439-49,FY001,NA,Tripsacum zopilotense,MORELOS,ND,1200,NA,NA
953,9890,CIMMYT,Banco de Germoplasma de Maíz,10332-T.spp-7158-1,FY001,NA,Tripsacum intermedium,MORELOS,ND,NA,NA,NA
954,9891,CIMMYT,Banco de Germoplasma de Maíz,10333-T.spp-1299-92,FY001,NA,Tripsacum dactyloides hispidum,MORELOS,TLAYACAPAN,NA,NA,NA
955,9894,CIMMYT,Banco de Germoplasma de Maíz,10334-T.spp-981-85,FY001,NA,Tripsacum dactyloides mexicanum,NAYARIT,ND,NA,NA,NA
960,9912,CIMMYT,Banco de Germoplasma de Maíz,10335-T.spp-635-58,FY001,NA,Tripsacum bravum,NAYARIT,ND,NA,NA,NA
961,9913,CIMMYT,Banco de Germoplasma de Maíz,10336-T.spp-2007-134,FY001,NA,Tripsacum maizar,NAYARIT,ND,550,NA,NA
962,9916,CIMMYT,Banco de Germoplasma de Maíz,10337-T.spp-7207-2,FY001,NA,Tripsacum maizar,NAYARIT,ND,NA,NA,NA
963,9917,CIMMYT,Banco de Germoplasma de Maíz,10339-T.spp-1960-131,FY001,NA,Tripsacum bravum,NAYARIT,SANTA MARIA DEL ORO,950,NA,NA
964,9919,CIMMYT,Banco de Germoplasma de Maíz,10340-T.spp-1962-131,FY001,NA,Tripsacum maizar,NAYARIT,SANTA MARIA DEL ORO,950,NA,NA
965,9921,CIMMYT,Banco de Germoplasma de Maíz,10341-T.spp-1939-129,FY001,NA,Tripsacum dactyloides hispidum,NAYARIT,SANTA MARIA DEL ORO,1150,NA,NA
966,9922,CIMMYT,Banco de Germoplasma de Maíz,10342-T.spp-69-18,FY001,NA,Tripsacum latifolium,OAXACA,PLUMA HIDALGO,1100,NA,NA
967,9924,CIMMYT,Banco de Germoplasma de Maíz,10343-T.spp-59-16,FY001,NA,Tripsacum dactyloides hispidum,OAXACA,SAN PEDRO JUCHATENGO,1000,NA,NA
968,9926,CIMMYT,Banco de Germoplasma de Maíz,10344-T.spp-54-15,FY001,NA,Tripsacum dactyloides hispidum,OAXACA,SAN PEDRO JUCHATENGO,1050,NA,NA
969,9928,CIMMYT,Banco de Germoplasma de Maíz,10345-T.spp-2081-138,FY001,NA,Tripsacum pilosum,SINALOA,ND,1250,NA,NA
970,9929,CIMMYT,Banco de Germoplasma de Maíz,10346-T.spp-2094-139,FY001,NA,Tripsacum pilosum,SINALOA,ND,1400,NA,NA
971,9930,CIMMYT,Banco de Germoplasma de Maíz,10347-T.spp-968-84,FY001,NA,Tripsacum dactyloides hispidum,SAN LUIS POTOSÍ,ND,NA,NA,NA
972,9931,CIMMYT,Banco de Germoplasma de Maíz,10348-T.spp-966-82,FY001,NA,Tripsacum dactyloides hispidum,SAN LUIS POTOSÍ,ND,NA,NA,NA
973,9932,CIMMYT,Banco de Germoplasma de Maíz,10349-T.spp-1291-74,FY001,NA,Tripsacum dactyloides mexicanum,VERACRUZ DE IGNACIO DE LA LLAVE,ND,650,NA,NA
1006,10470,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10273-T.spp-7129-4,FY001,NA,Tripsacum,GUERRERO,ND,NA,NA,NA
1007,10471,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10307-T.spp-TS-25,FY001,NA,Tripsacum,JALISCO,ND,1200,NA,NA
1008,10473,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10319-T.spp-246-34,FY001,NA,Tripsacum maizar,JALISCO,ND,1140,NA,NA
1009,10475,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10338-T.spp-332-41,FY001,NA,Tripsacum maizar,NAYARIT,ND,1200,NA,NA
1010,10476,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10353-T.spp-TS-40,FY001,NA,Tripsacum,ND,ND,NA,NA,NA
1011,10477,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10354-T.spp-TS-50,FY001,NA,Tripsacum,ND,ND,NA,NA,NA
1012,10478,URG-BGM,Unidad de Recursos Genéticos-Banco de Germoplasma de Maíz,10355-T.spp-TS-153,FY001,NA,Tripsacum,ND,ND,NA,NA,NA
16213,3,HGOM,Herbario del Área Académica de Biología,HGOM2005MGL1789,FZ011,2005,Tripsacum laxum,OAXACA,SAN JUAN BAUTISTA TUXTEPEC,75,-96.15,18
16214,4,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL623,FZ011,1994,Tripsacum dactyloides hispidum,MÉXICO,TEXCOCO,2600,-98.81063889,19.52705556
16215,5,HGOM,Herbario del Área Académica de Biología,HGOM2005MGL1790,FZ011,2005,Tripsacum latifolium,OAXACA,SAN JUAN BAUTISTA VALLE NACIONAL,400,-96.32111111,17.7425
16216,6,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1868,FZ011,2007,Tripsacum pilosum,MICHOACÁN DE OCAMPO,MORELIA,1961,-101.3666667,19.86666667
16217,7,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1872,FZ011,2007,Tripsacum dactyloides hispidum,MICHOACÁN DE OCAMPO,JIQUILPAN,2070,-103,19.95
16218,8,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1874,FZ011,2007,Tripsacum bravum,JALISCO,TAMAZULA DE GORDIANO,1124,-103.2666667,19.68333333
16219,9,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1875,FZ011,2007,Tripsacum intermedium,JALISCO,TAMAZULA DE GORDIANO,1150,-103.3333333,19.63333333
16220,10,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1877,FZ011,2007,Tripsacum dactyloides hispidum,JALISCO,TUXPAN,1154,-103.45,19.48333333
16221,11,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1882,FZ011,2007,Tripsacum dactyloides mexicanum,JALISCO,TONILA,1265,-103.5333333,19.41666667
16222,12,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1883,FZ011,2007,Tripsacum dactyloides hispidum,COLIMA,TECOMAN,253,-103.7833333,19.01666667
16223,13,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1885,FZ011,2007,Tripsacum dactyloides hispidum,JALISCO,TONILA,1004,-103.4666667,19.43333333
16224,14,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1887,FZ011,2007,Tripsacum dactyloides mexicanum,JALISCO,ZAPOTILTIC,1359,-103.4333333,19.56666667
16225,15,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1888,FZ011,2007,Tripsacum pilosum,JALISCO,SAYULA,1534,-103.5,19.83333333
16226,16,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1889,FZ011,2007,Tripsacum pilosum,JALISCO,ACATLAN DE JUAREZ,1429,-103.5833333,20.41666667
16227,17,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1890,FZ011,2007,Tripsacum dactyloides hispidum,JALISCO,TLAJOMULCO DE ZUÑIGA,1611,-103.4666667,20.51666667
16228,18,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1891,FZ011,2007,Tripsacum dactyloides mexicanum,JALISCO,AMATITAN,1252,-103.7666667,20.85
16229,19,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1892,FZ011,2007,Tripsacum pilosum,JALISCO,AMATITAN,1252,-103.7666667,20.85
16230,20,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1895,FZ011,2007,Tripsacum pilosum,JALISCO,TEQUILA,1210,-103.85,20.91666667
16231,21,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1897,FZ011,2007,Tripsacum dactyloides hispidum,JALISCO,HOSTOTIPAQUILLO,1233,-104.1,21
16232,22,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1900,FZ011,2007,Tripsacum maizar,JALISCO,HOSTOTIPAQUILLO,1206,-104.2166667,21.03333333
16233,23,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1901,FZ011,2007,Tripsacum dactyloides mexicanum,SINALOA,CONCORDIA,412,-105.95,23.36666667
16234,24,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1902,FZ011,2007,Tripsacum dactyloides mexicanum,SINALOA,CONCORDIA,770,-105.9,23.4
16235,25,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1907,FZ011,2007,Tripsacum dactyloides hispidum,SINALOA,CONCORDIA,1067,-105.8666667,23.4
16236,26,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1908,FZ011,2007,Tripsacum laxum,SINALOA,CONCORDIA,1299,-105.8333333,23.43333333
16237,27,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1909,FZ011,2007,Tripsacum lanceolatum,SINALOA,CONCORDIA,1299,-105.8333333,23.43333333
16238,28,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1910,FZ011,2007,Tripsacum bravum,NAYARIT,TEPIC,542,-104.9833333,21.65
16239,29,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1911,FZ011,2007,Tripsacum maizar,NAYARIT,TEPIC,582,-104.9666667,21.63333333
16240,30,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1912,FZ011,2007,Tripsacum dactyloides hispidum,JALISCO,TONALA,1556,-103.1666667,20.6
16241,31,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1913,FZ011,2007,Tripsacum dactyloides hispidum,JALISCO,ZAPOTLANEJO,1469,-103.1166667,20.6
16242,32,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1915,FZ011,2007,Tripsacum dactyloides hispidum,JALISCO,ATOTONILCO EL ALTO,1628,-102.45,20.55
16243,33,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1916,FZ011,2007,Tripsacum dactyloides hispidum,JALISCO,ATOTONILCO EL ALTO,1755,-102.4333333,20.55
16244,34,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1922,FZ011,2007,Tripsacum dactyloides hispidum,GUERRERO,IXCATEOPAN DE CUAUHTEMOC,1577,-99.75,18.41666667
16245,35,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1923,FZ011,2007,Tripsacum dactyloides hispidum,GUERRERO,PEDRO ASCENCIO ALQUISIRAS,1577,-100.0097222,18.40861111
16246,36,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1926,FZ011,2007,Tripsacum dactyloides hispidum,MÉXICO,TEMASCALTEPEC,1896,-100.05,19.05
16247,37,HGOM,Herbario del Área Académica de Biología,HGOM2007MGL1927,FZ011,2007,Tripsacum bravum,MÉXICO,ZACAZONAPAN,1527,-100.2,19.05
16248,38,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL609,FZ011,1994,Tripsacum pilosum,SINALOA,CONCORDIA,1400,-105.85,23.48333333
16249,39,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL610,FZ011,1994,Tripsacum pilosum,SINALOA,CONCORDIA,1850,-105.85,23.48333333
16250,40,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL611,FZ011,1994,Tripsacum bravum,DURANGO,DURANGO,1900,-104.6666667,24.2
16251,41,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL612,FZ011,1994,Tripsacum lanceolatum,DURANGO,MEZQUITAL,1950,-104.4666667,23.43333333
16252,42,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL613,FZ011,1994,Tripsacum lanceolatum,DURANGO,DURANGO,1900,-104.45,24.03333333
16253,43,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL614,FZ011,1994,Tripsacum lanceolatum,DURANGO,DURANGO,2250,-104.7833333,23.98333333
16254,44,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL615,FZ011,1994,Tripsacum lanceolatum,JALISCO,JESUS MARIA,2050,-102.05,20.68333333
16255,45,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL616,FZ011,1994,Tripsacum dactyloides mexicanum,QUERÉTARO ARTEAGA,PINAL DE AMOLES,1150,-99.58333333,21.16666667
16256,46,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL617,FZ011,1994,Tripsacum dactyloides mexicanum,QUERÉTARO ARTEAGA,PINAL DE AMOLES,1150,-99.58333333,21.16666667
16257,47,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL618,FZ011,1994,Tripsacum dactyloides mexicanum,QUERÉTARO ARTEAGA,PINAL DE AMOLES,1150,-99.58333333,21.16666667
16258,48,HGOM,Herbario del Área Académica de Biología,HGOM1994MGL619,FZ011,1994,Tripsacum bravum,MÉXICO,SANTO TOMAS,1340,-100.2833333,19.18333333
